bank_pk,bank_id,bank_name,branch_id,branch_name,fd_sales,rd_sales,ca_sales,sa_sales,life_insurance,general_insurance,mutual_fund
4-Axis-143-Ha,4,Axis,143,Hallborough Branch,1413030.12,456302.33,597756.33,698962.08,2461915.41,1570265.46,1184987.64
3-Axis-184-Po,3,Axis,184,Port Rachel Branch,1822391.72,766589.93,1798030.04,631365.49,2936870.51,4281474.06,2033873.75
2-Axis-180-Ni,2,Axis,180,Nicolechester Branch,2538158,784099.14,1082628.6,1285963.11,5954502.95,4272972.29,2013956.78
3-Axis-192-Ca,3,Axis,192,Carlton Branch,3554378.11,1104844.82,1142002.3,1125015.91,5064466.92,4471529.55,2632649.3
3-Axis-150-La,3,Axis,150,Lake Kelly Branch,1577722.95,645388.23,952327.8,519240.57,3852141.91,1494163.06,1572313.68
2-Axis-179-Po,2,Axis,179,Port Brian Branch,2853449.24,1043416.32,1727306.85,716439.65,7580271.86,5177428.35,3208186.03
1-Axis-181-We,1,Axis,181,West Christopher Branch,2430735.85,971447.05,1020910.52,926823.78,4357508.57,2818951.71,2345862.25
5-Axis-137-No,5,Axis,137,North Robertton Branch,1728621.76,599303.16,898287.71,1094351.78,4073440.79,2454236.25,1969578.45
2-Axis-140-St,2,Axis,140,Stanleyview Branch,544437.95,280298.27,437211.67,329607.5,1695989.52,846512.71,446651.31
5-Axis-143-Ha,5,Axis,143,Hallborough Branch,2113437.01,731196.27,1361750.48,691281.83,3507832.93,4398419.3,2262320.04
1-Axis-174-We,1,Axis,174,West Danielle Branch,1575978.19,879999.38,839214.6,773489.31,4114619.77,3572186.67,1375745.88
2-Axis-195-Po,2,Axis,195,Port Wanda Branch,1929113.5,466880.21,1233935.18,864737.39,4438048.4,1965637.98,2178247.15
4-Axis-191-So,4,Axis,191,South Feliciaborough Branch,2273002.59,783140.27,1403357.74,909941.8,4334554.88,3692333.21,2600111.27
3-Axis-115-We,3,Axis,115,West Jennifer Branch,2306093.44,885878.43,1457295.21,1369691.04,4719797.99,3346060.47,1773633.95
2-Axis-197-Po,2,Axis,197,Port Jeanne Branch,2472875.75,1105053.56,1707869.3,1331914.18,4551408.88,3577415.62,1794912.11
2-Axis-149-Po,2,Axis,149,Port Jademouth Branch,1033241.26,328264.07,647829.96,703711.75,2207767.88,1640376.67,1312920.17
1-Axis-193-Ne,1,Axis,193,New Jenniferberg Branch,1938682.88,664754.02,1300295.6,841962.62,3693630.07,2625286.85,1267654.74
4-Axis-137-No,4,Axis,137,North Robertton Branch,1927775.13,474298.17,958746.8,596678.41,2889510.93,2012688.13,2019664.24
2-Axis-185-Po,2,Axis,185,Port Patricktown Branch,1909385.86,971555.6,1181366.98,1200057.5,3147461.36,4067900.91,2170292.34
4-Axis-104-Or,4,Axis,104,Ortegashire Branch,1862540.54,561593.3,872727.52,401197.7,4345199.61,2670898.8,1290034.27
5-Axis-108-Ea,5,Axis,108,East Carl Branch,4130919.87,1269304.14,1758009.83,1847945.65,5880407.21,7130872.27,3743091.11
2-Axis-176-Mu,2,Axis,176,Murrayhaven Branch,395551.15,338440.62,342707.79,308058.03,2285618.17,1101428.07,1011593.69
4-Axis-138-La,4,Axis,138,Lake Christophertown Branch,1920086.85,470974.85,539629.39,616751.65,2498379.9,2060810.82,1501060.09
3-Axis-186-Ea,3,Axis,186,East Sarabury Branch,1132093.21,440609.51,817709.56,451865.19,3253779.87,1470670.4,1054773.98
1-Axis-126-So,1,Axis,126,South Wendy Branch,1203466.69,473766.67,812294.52,580479.03,3115980.67,2100752.21,1036840.5
4-Axis-131-Br,4,Axis,131,Browningberg Branch,2240856.94,936393.46,1215522.7,727233.45,4796579.67,3371745.5,1735125.21
1-Axis-163-Sh,1,Axis,163,Shannonmouth Branch,2224345.07,789511.6,1198202.85,1103990.28,4564853.23,3090939.48,2022193.45
